Column,Null Count,Zero Count,Zero Count (str),Data Types
camis,0,0,0,int64
dba,0,0,0,object
boro,0,0,0,object
building,289,0,430,object
street,0,0,0,object
zipcode,2642,0,0,float64
phone,6,0,0,object
cuisine_description,0,0,0,object
inspection_date,0,0,0,object
action,0,0,0,object
critical_flag,0,0,0,object
score,7572,9813,0,float64
record_date,0,0,0,object
inspection_type,0,0,0,object
latitude,246,2642,0,float64
longitude,246,2642,0,float64
community_board,3153,0,0,float64
council_district,3157,0,0,float64
census_tract,3157,0,0,float64
bin,4144,0,0,float64
bbl,511,0,0,float64
nta,3153,0,0,object
violation_code,1157,0,0,object
violation_description,1157,0,0,object
grade,104404,0,0,object
grade_date,113157,0,0,object
