,Numeric_Zero_Count,String_Zero_Count,Null_Count,Blank Count,Space Count,Data Types
camis,0,0,0,0,0,int64
dba,0,0,0,0,0,object
boro,0,0,0,0,0,object
building,0,276,0,0,0,object
street,0,0,0,0,0,object
zipcode,0,0,0,0,0,float64
phone,0,0,0,0,0,object
cuisine_description,0,0,0,0,0,object
inspection_date,0,0,0,0,0,object
action,0,0,0,0,0,object
critical_flag,0,0,0,0,0,object
score,7723,0,0,0,0,float64
record_date,0,0,0,0,0,object
inspection_type,0,0,0,0,0,object
latitude,0,0,0,0,0,float64
longitude,0,0,0,0,0,float64
community_board,0,0,0,0,0,float64
council_district,0,0,0,0,0,float64
census_tract,0,0,0,0,0,float64
bin,0,0,0,0,0,float64
bbl,0,0,0,0,0,float64
nta,0,0,0,0,0,object
violation_code,0,0,0,0,0,object
violation_description,0,0,0,0,0,object
